id_ruta,codigo_ruta,nombre_ruta,recorrido,sistema_ruta,tipo_ruta,empresa,id_gflota,from_date,tipo_actoadmin,numero_actoadmin,anio_actoadmin,estado,fecha_actualizacion
90215,031 P-SD,Popular Centro San Diego,Destino-Origen,6C,Directa Centro,Expreso Campo Valdés,121295,1755182463247,,,,,1755182463247
90003,302,Circular Antihorario 302,Destino-Origen,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,132417,1755182463247,,,,,1755182463247
90217,37 - 39,Hueco,Origen-Destino,6C,Directa Centro,Autocol,121375,1755182463247,,,,,1755182463247
90219,37 - 39,Villanueva,Origen-Destino,6C,Directa Centro,Autocol,121365,1755182463247,,,,,1755182463247
90219,37 - 39,Villanueva,Destino-Origen,6C,Directa Centro,Autocol,121365,1755182463247,,,,,1755182463247
90226,080 V-33,Villa Hermosa - La Mansión-Directa La 33,Origen-Destino,6D,Directa Centro,Flota Nueva Villa,111405,1755182463247,,,,,1755182463247
90226,080 V-33,Villa Hermosa - La Mansión-Directa La 33,Destino-Origen,6D,Directa Centro,Flota Nueva Villa,111405,1755182463247,,,,,1755182463247
90227,080 V-M,Villa Hermosa - La Mansión,Origen-Destino,6D,Directa Centro,Flota Nueva Villa,111395,1755182463247,,,,,1755182463247
90227,080 V-M,Villa Hermosa - La Mansión,Destino-Origen,6D,Directa Centro,Flota Nueva Villa,111395,1755182463247,,,,,1755182463247
90195,112,Las Palmas,Origen-Destino,6A,Directa Centro,Copatra,111196,1755182463247,,,,,1755182463247
90230,082 V-LA,Villa Hermosa - Los Ángeles,Origen-Destino,6D,Directa Centro,Flota Nueva Villa,111435,1755182463247,,,,,1755182463247
90230,082 V-LA,Villa Hermosa - Los Ángeles,Destino-Origen,6D,Directa Centro,Flota Nueva Villa,111435,1755182463247,,,,,1755182463247
90232,085,La Honda,Origen-Destino,6D,Directa Centro,Cootracovi,111455,1755182463247,,,,,1755182463247
90328,C23i IZQUIERA,San Cristóbal-estación San Javier,Origen-Destino,8A,Integrada,Tax Maya,112062,1755182463247,,,,,1755182463247
90232,085,La Honda,Destino-Origen,6D,Directa Centro,Cootracovi,111455,1755182463247,,,,,1755182463247
